text,intent,slot_tags
"is the production ml monitoring - outliers, drift, explainers, and statistical performance course open?",details,"['O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'I-course_name', 'I-course_name', 'O', 'O', 'O']"
how do i get better at go,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"great chat, talk to you later",courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
ignore call,oos,"['O', 'O']"
how've you been feeling,courtesy,"['O', 'O', 'O', 'O', 'O']"
is there an advanced course on pycon us that has a duration of less than 30 minutes and a rating of greater than 4?,recommend,"['O', 'O', 'O', 'B-level', 'O', 'O', 'B-topic', 'I-topic', 'O', 'O', 'O', 'O', 'O', 'O', 'I-rating', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'O', 'O']"
"give me some details on the getting started with python deep learning for beginners class, including the course link and the provider.",details,"['O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"it was a pleasure talking to you, goodbye now",courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"what is the rating and duration of the data visualization with :  bi ,sql server postgresql, excel course?",details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
wassup,courtesy,['O']
what's up with you,courtesy,"['O', 'O', 'O', 'O', 'O']"
what courses are available with a start date of july 15 and a rating of above 3.5?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'O']"
is there a car in my blind spot,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
will you block non-kid friendly shows,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
i would like to know more about the spring webflux masterclass: reactive microservices course.,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
do they speak english in australia,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
thank a bunch,courtesy,"['O', 'O', 'O']"
can you recommend a course that has less than 3.8 reviews?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'O', 'O']"
how do i register for the course?,details,"['O', 'O', 'O', 'O', 'B-course_name', 'O', 'O', 'O']"
is it possible to enroll in the kubernetes basics for beginners course now?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O']"
can i set up mobile deposits,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
it was nice chatting with you,courtesy,"['O', 'O', 'O', 'O', 'O', 'O']"
check current prime mortgage rate,oos,"['O', 'O', 'O', 'O', 'O']"
see you soon,courtesy,"['O', 'O', 'O']"
tell me how to perform cpr,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
your answer was good,courtesy,"['O', 'O', 'O', 'O']"
are you doing well,courtesy,"['O', 'O', 'O', 'O']"
"thank you for the chat, goodbye",courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
how are you doing,courtesy,"['O', 'O', 'O', 'O']"
what movies are playing at my local cinemax,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what rating does the open source generative artificial intelligence in question-answering - nlp using python course have?,details,"['O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O']"
hello siri,courtesy,"['O', 'O']"
is there an intermediate course on streamlit that has a duration of short and a rating of above 3.5?,recommend,"['O', 'O', 'O', 'B-level', 'O', 'O', 'B-topic', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'O']"
the start date of a machine learning course is flexible and it has a low rating.,recommend,"['O', 'O', 'O', 'O', 'O', 'B-topic', 'I-topic', 'O', 'O', 'B-start_date', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'O']"
where did abraham lincoln live,oos,"['O', 'O', 'O', 'O', 'O']"
your help is appreciated,courtesy,"['O', 'O', 'O', 'O']"
good bye then,courtesy,"['O', 'O', 'O']"
"what is included in the android app components - intents, activities, and broadcast receivers course?",details,"['O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
what does it mean to join the occult,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
see if you can purchase a spacesuit online,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
how do i use my microwaves defrost,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
when does the data driven decision making course start? what is its duration?,details,"['O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what about a course that costs $8620?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'B-pricing', 'I-pricing', 'O']"
what's up,courtesy,"['O', 'O', 'O']"
"why, hello bandit",courtesy,"['O', 'O', 'O', 'O']"
where can i sign up for the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
thanks for all your help,courtesy,"['O', 'O', 'O', 'O', 'O']"
what are the requirements for the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
can i enroll in the first person shooter course?,details,"['O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
can you tell me when i can enroll in the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"hi, how are you today",courtesy,"['O', 'O', 'O', 'O', 'O', 'O']"
hello,courtesy,['O']
what is the level of difficulty for the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
how are you,courtesy,"['O', 'O', 'O']"
"does tabs, spaces and salaries - a data science detective story course have any special requirements?",details,"['O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O']"
"please tell us about the provider, pricing, and course link.",details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what is the starting price for the mainframe workloads fast track to agility course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
do you know of a course that has a rating of 4.5 by less than 500 students?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'B-num_rating', 'I-num_rating', 'I-num_rating', 'O', 'O']"
i'm interested in a machine learning course that lasts less than 4 months.,recommend,"['O', 'O', 'O', 'O', 'O', 'B-topic', 'I-topic', 'O', 'O', 'O', 'B-duration', 'I-duration', 'I-duration', 'I-duration', 'O']"
i'm looking for a course with a start date that is flexible and rated by more than 1500 people.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'O', 'O', 'O', 'B-num_rating', 'I-num_rating', 'I-num_rating', 'O', 'O']"
update my status on instagram,oos,"['O', 'O', 'O', 'O', 'O']"
what are the duration and start date of the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
is there any courses that start on june 1 that you can recommend?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'O', 'O']"
"is it possible to recommend a course with a start date of august 20, priced at $5769 and offered by futurelearn with more than 1500 ratings?",recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'B-pricing', 'I-pricing', 'O', 'O', 'O', 'B-provider', 'O', 'B-num_rating', 'I-num_rating', 'I-num_rating', 'O', 'O']"
i would like a course that lasts 2 months and has a rating of 3.5 or higher.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'O', 'O']"
when will the daffodils bloom this year,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
we'll talk later ai,courtesy,"['O', 'O', 'O', 'O', 'O']"
how does my current htc phone compare to other android phones,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what game development courses with 1000 reviews are available from coursera with a duration of 4 weeks?,recommend,"['O', 'B-topic', 'I-topic', 'O', 'O', 'B-num_rating', 'O', 'O', 'O', 'O', 'B-provider', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'O']"
i would like to thank you ai,courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
i enjoyed talking to you,courtesy,"['O', 'O', 'O', 'O', 'O']"
what courses with a rating of less than 3.8 can you recommend?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'O', 'O', 'O', 'O']"
what do you feel like doing,courtesy,"['O', 'O', 'O', 'O', 'O', 'O']"
"add mary to my phone plan, please",oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"hi, how are you",courtesy,"['O', 'O', 'O', 'O', 'O']"
where do squirrels's live,oos,"['O', 'O', 'O', 'O', 'O']"
is it possible to get a certification after completing the master object oriented design in java - homework + solutions course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'B-certified', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
what are the duration and start date of the professional python web development using flask course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
glad we got to talk,courtesy,"['O', 'O', 'O', 'O', 'O']"
"i want to know the start date, level, and pricing of the course.",details,"['O', 'O', 'O', 'O', 'B-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-course_name', 'I-course_name', 'O', 'O']"
adios!,courtesy,"['O', 'O']"
what is the course link for the godot recipes course? can you also provide information on its pricing and start date?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
does the course include any work?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
is there a machine learning course with an august 20 start date?,recommend,"['O', 'O', 'O', 'B-topic', 'I-topic', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O']"
can you tell me how to figure a percentage of a number,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
can you recommend an beginner course on aws lambda from coursera project network with a duration of more than 3 months and a rating of lesser than 3.8?,recommend,"['O', 'O', 'O', 'O', 'B-level', 'O', 'O', 'B-topic', 'I-topic', 'O', 'B-institution', 'I-institution', 'I-institution', 'O', 'O', 'O', 'O', 'B-duration', 'I-rating', 'I-duration', 'I-duration', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'I-rating', 'O']"
i would like to know more about the course's certification.,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-certified', 'O']"
what is the duration and rating of the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what year was jane austen born,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
see you again soon,courtesy,"['O', 'O', 'O', 'O']"
is there a course with a start date of july 15 that you would recommend?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'O', 'O']"
how much is it to get more data on my phone plan,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
is there an alternate bus stop close to my home i can use,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i want to know more about the duration and rating of the course.,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i would like to take a course with 4 weeks of content.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'O', 'O', 'O']"
i'm interested in a kubernetes course that lasts more than 3 months and cost $8620.,recommend,"['O', 'O', 'O', 'O', 'O', 'B-topic', 'O', 'O', 'O', 'B-duration', 'I-duration', 'I-duration', 'I-duration', 'O', 'O', 'B-pricing', 'I-pricing', 'O']"
do you have any courses with a rating of low offered by exercism?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'O', 'B-provider', 'O']"
what is naval engineering,oos,"['O', 'O', 'O', 'O']"
thanks for your help!,courtesy,"['O', 'O', 'O', 'O', 'O']"
does the computer fundamentals: networking course have any special requirements?,details,"['O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O']"
what's the most difficult yoga pose to perform,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what pass data community summit courses have a rating of less than 3.8 can you recommend?,recommend,"['O', 'B-topic', 'B-institution', 'I-topic', 'I-topic', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'O', 'O', 'O', 'O']"
is it possible to provide the course outline for the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what are the pricing details of build 3 chrome extensions in under 2 hours,details,"['O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name']"
farewell,courtesy,['O']
is it possible to recommend a troopers course with a duration of less than 4 months and a link to more details?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'B-topic', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'I-duration', 'I-duration', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
is there a course with a july 15 start date that costs $9184?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'O', 'B-pricing', 'I-pricing', 'O']"
where can i see art,oos,"['O', 'O', 'O', 'O', 'O']"
could you recommend a deep learning course with flexible start date and costs $8620?,recommend,"['O', 'O', 'O', 'O', 'B-topic', 'I-topic', 'O', 'O', 'B-start_date', 'O', 'O', 'O', 'O', 'B-pricing', 'I-pricing', 'O']"
see ya later,courtesy,"['O', 'O', 'O']"
can you recommend a certified beginner course?,recommend,"['O', 'O', 'O', 'O', 'B-certified', 'B-level', 'O', 'O']"
i need information on how to register for the course.,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i would like to take the artificial intelligence ethics certification class.,details,"['O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
how long is the servicenow mastery: building expertise from the ground up course?,details,"['O', 'O', 'O', 'I-course_name', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
generate a list of 20 songs that include the word love in the title,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what site publishes the most fake news,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
how is the ai doing,courtesy,"['O', 'O', 'O', 'O', 'O']"
is there an intermediate natural language processing course with less than 4 months duration and a rating of less than 3.8?,recommend,"['O', 'O', 'O', 'B-level', 'B-topic', 'I-topic', 'I-topic', 'O', 'O', 'B-duration', 'B-rating', 'I-duration', 'I-duration', 'O', 'O', 'O', 'O', 'O', 'I-duration', 'I-rating', 'I-rating', 'O']"
is everything ok today,courtesy,"['O', 'O', 'O', 'O']"
i need a course that lasts for a long time and costs about $1800.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'O', 'O', 'O', 'O', 'B-pricing', 'O', 'O']"
"this was fun, see you around bye",courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
it was cool talking with you,courtesy,"['O', 'O', 'O', 'O', 'O', 'O']"
it was nice to chat,courtesy,"['O', 'O', 'O', 'O', 'O']"
the birds fly with there wings,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
what topics are covered in the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"thanks, i appreciate it",courtesy,"['O', 'O', 'O', 'O', 'O']"
is it possible to give the syllabus and information on the pricing for the uc berkeley course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'O', 'O']"
"how many people have held the role of county attorney bearing the family name ""dixon""",oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"what are its start date, duration, and pricing details of the spring framework: versioning spring data rest apis course",details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O']"
can you suggest a big data course with a duration of long and a rating of above 3.5,recommend,"['O', 'O', 'O', 'O', 'B-topic', 'I-topic', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating']"
how much food should i feed my cat,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
are you well,courtesy,"['O', 'O', 'O']"
i want to thank you for helping,courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
are there any reinforcement learning courses offered by udemy with a start date of june 1 and a rating of 5.0?,recommend,"['O', 'O', 'O', 'B-topic', 'I-topic', 'O', 'O', 'O', 'B-provider', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'O', 'B-rating', 'O']"
what specflow courses have more than 1500 reviews?,recommend,"['O', 'B-topic', 'O', 'O', 'B-num_rating', 'I-num_rating', 'I-num_rating', 'O', 'O']"
is there a course that is similar to the one you mentioned?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
look up how to apply cream to smooth itchiness,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
how are my sports teams doing,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
is there a course that is self paced that you could suggest?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'O', 'O', 'O', 'O', 'O']"
i appreciate your help,courtesy,"['O', 'O', 'O', 'O']"
would you recommend a microservices course with a flexible start date?,recommend,"['O', 'O', 'O', 'O', 'B-topic', 'O', 'O', 'O', 'B-start_date', 'O', 'O', 'O']"
where are the oscar's held,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
can you recommend some good intermediate courses on google cloud platform (gcp) taught by microsoft with a duration of 6 months 3 weeks and a rating of 5.0?,recommend,"['O', 'O', 'O', 'O', 'O', 'B-level', 'O', 'O', 'B-topic', 'I-topic', 'I-topic', 'I-topic', 'I-topic', 'I-topic', 'O', 'O', 'B-institution', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'I-duration', 'I-duration', 'O', 'O', 'O', 'O', 'B-rating', 'O']"
can i get a sear's appliance repairman,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i'm looking for an advanced course on typescript from jeremy's it lab with a duration of short and offered by udemy.,recommend,"['O', 'O', 'O', 'O', 'O', 'B-level', 'O', 'O', 'B-topic', 'O', 'B-institution', 'I-institution', 'I-institution', 'I-institution', 'O', 'O', 'O', 'O', 'B-duration', 'O', 'O', 'O', 'B-provider', 'O']"
"enjoy your day, goodbye",courtesy,"['O', 'O', 'O', 'O', 'O']"
"good answer, thanks for providing it",courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
what are the dates for the how to choose the best industrial cybersecurity solution course?,details,"['O', 'O', 'I-course_name', 'O', 'O', 'I-course_name', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
accept incoming phone call,oos,"['O', 'O', 'O', 'O']"
tell me about the amusement park,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
i would like to learn how to use the sidebar navigation menu with the help of the beginners course.,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i would like to enroll in the software architecture & technology of large-scale systems course.,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
what is the course's duration and pricing?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i am looking for a course that has a 4.5 rating.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'O']"
can you give a course outline for the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
tell me more about the course.,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
could you suggest a intermediate data analysis course with 6 months 3 weeks duration and a rating of greater than 4.0?,recommend,"['O', 'O', 'O', 'O', 'B-level', 'B-topic', 'I-topic', 'O', 'O', 'B-duration', 'I-duration', 'I-duration', 'I-duration', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'I-rating', 'O']"
how do the anti-lock brakes work,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
thanks for the answer,courtesy,"['O', 'O', 'O', 'O']"
what do you do all day while i'm at work,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
tell me how many blue ties i own,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
is there a course that lasts 2 months and has a rating of low?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'O']"
check to see if i still have allergy medication,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
where can i sign up for the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
remind me what my weight loss goals are,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i'm looking for a course that costs $2926 and is certified by youtube.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-pricing', 'I-pricing', 'O', 'O', 'B-certified', 'O', 'B-provider', 'O']"
what html & css courses from jetbrains with less than 500 reviews and a rating of 5.0 can you recommend?,recommend,"['O', 'B-topic', 'I-topic', 'I-topic', 'O', 'O', 'B-institution', 'O', 'B-num_rating', 'I-num_rating', 'I-num_rating', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'O', 'O', 'O']"
"can you give us more information about the course, such as duration and rating?",details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what is the course duration?,details,"['O', 'O', 'O', 'O', 'O', 'O']"
"i want to know the start date, level, and pricing of the course.",details,"['O', 'O', 'B-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what is the level of difficulty for the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'O']"
what's the most practiced form of mma in the world,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
it was very good to talk to you,courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
can you recommend a beginner course on github offered by youtube that starts july 15 and has a rating of greater than 4.0?,recommend,"['O', 'O', 'O', 'O', 'B-level', 'O', 'O', 'B-topic', 'O', 'O', 'B-provider', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'I-rating', 'O']"
tell me about the earthquake in california that happened this morning,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i'm out of here,courtesy,"['O', 'O', 'O', 'O', 'O']"
is it possible to enroll in the image processing course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'O', 'O']"
i'm interested in a course that lasts less than 4 months.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'I-duration', 'I-duration', 'O']"
can you suggest a course with a low rating?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'O']"
what does water taste like,oos,"['O', 'O', 'O', 'O', 'O']"
is there any envato tuts+ web development courses that you can recommend?,recommend,"['O', 'O', 'O', 'B-institution', 'I-institution', 'B-topic', 'I-topic', 'O', 'O', 'O', 'O', 'O', 'O']"
"i have too many credit cards, is there any way you can help me organize them",oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
regards,courtesy,['O']
"what's included in the ssrs report publishing playbook course? please provide details about the provider, pricing, and course link.",details,"['O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
can you find me an beginner course with a self paced duration than the ones you mentioned earlier?,recommend,"['O', 'O', 'O', 'O', 'O', 'B-level', 'O', 'O', 'O', 'B-duration', 'I-duration', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
thank you for that reply,courtesy,"['O', 'O', 'O', 'O', 'O']"
i must say goodbye,courtesy,"['O', 'O', 'O', 'O']"
where can i have a black and white photo blown up to poster size,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
is it possible to recommend a course with a duration of long and a link to more details?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what is the starting price for the langchain crash course for beginners course?,details,"['O', 'O', 'O', 'O', 'O', 'I-course_name', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O']"
